1,0
0.99799,0.038054
0.99195,0.075955
0.98193,0.11355
0.96795,0.15069
0.95007,0.18722
0.92837,0.223
0.90293,0.25788
0.87385,0.29172
0.84125,0.32438
0.80527,0.35574
0.76604,0.38567
0.72373,0.41405
0.67851,0.44076
0.63055,0.46569
0.58006,0.48875
0.52723,0.50984
0.47227,0.52887
0.41542,0.54578
0.35689,0.56049
0.29692,0.57294
0.23576,0.58309
0.17365,0.59088
0.11084,0.5963
0.047582,0.59932
-0.015866,0.59992
-0.07925,0.59811
-0.14231,0.59389
-0.20481,0.58728
-0.26647,0.57831
-0.32707,0.567
-0.38635,0.55341
-0.44407,0.5376
-0.5,0.51962
-0.55392,0.49954
-0.60561,0.47746
-0.65486,0.45345
-0.70147,0.42762
-0.74526,0.40006
-0.78605,0.3709
-0.82368,0.34024
-0.85798,0.30821
-0.88884,0.27494
-0.91611,0.24056
-0.93969,0.20521
-0.95949,0.16904
-0.97543,0.13219
-0.98744,0.094801
-0.99547,0.057034
-0.9995,0.019037
-0.9995,-0.019037
-0.99547,-0.057034
-0.98744,-0.094801
-0.97543,-0.13219
-0.95949,-0.16904
-0.93969,-0.20521
-0.91611,-0.24056
-0.88884,-0.27494
-0.85798,-0.30821
-0.82368,-0.34024
-0.78605,-0.3709
-0.74526,-0.40006
-0.70147,-0.42762
-0.65486,-0.45345
-0.60561,-0.47746
-0.55392,-0.49954
-0.5,-0.51962
-0.44407,-0.5376
-0.38635,-0.55341
-0.32707,-0.567
-0.26647,-0.57831
-0.20481,-0.58728
-0.14231,-0.59389
-0.07925,-0.59811
-0.015866,-0.59992
0.047582,-0.59932
0.11084,-0.5963
0.17365,-0.59088
0.23576,-0.58309
0.29692,-0.57294
0.35689,-0.56049
0.41542,-0.54578
0.47227,-0.52887
0.52723,-0.50984
0.58006,-0.48875
0.63055,-0.46569
0.67851,-0.44076
0.72373,-0.41405
0.76604,-0.38567
0.80527,-0.35574
0.84125,-0.32438
0.87385,-0.29172
0.90293,-0.25788
0.92837,-0.223
0.95007,-0.18722
0.96795,-0.15069
0.98193,-0.11355
0.99195,-0.075955
0.99799,-0.038054
1,-1.4696e-16
